"","Type","Relative","DNAcon"
"1","Tolerant_Dominance",53.48863481,8
"2","Tolerant_Dominance",55.75666773,8
"3","Tolerant_Dominance",65.61803434,8
"4","Less Sensitive_Dominance",27.69639682,1.7
"5","Less Sensitive_Dominance",24.21520289,1.7
"6","Less Sensitive_Dominance",31.51628075,1.7
"7","Sensitive_Dominance",36.14373946,0.6
"8","Sensitive_Dominance",34.95566078,0.6
"9","Sensitive_Dominance",34.21240132,0.6
