"","Type","Relative","DNAcon"
"1","Tolerant_Dominance","3.443062248","1.5"
"2","Tolerant_Dominance","5.504739994","1.5"
"3","Tolerant_Dominance","5.986830374","1.5"
"4","Less Sensitive_Dominance","13.94722671","4"
"5","Less Sensitive_Dominance","15.24821229","4"
"6","Less Sensitive_Dominance","16.81262482","4"
"7","Sensitive_Dominance","7.811675061","1.7"
"8","Sensitive_Dominance","9.402300072","1.7"
"9","Sensitive_Dominance","10.07433303","1.7"
