"","Type","Relative","DNAcon"
"1","Tolerant_Dominance","0.012492861","2"
"2","Tolerant_Dominance","0.028888747","2"
"3","Tolerant_Dominance","0.547631494","2"
"4","Less Sensitive_Dominance","0.282077465","1.1"
"5","Less Sensitive_Dominance","0.14685058","1.1"
"6","Less Sensitive_Dominance","0","1.1"
"7","Sensitive_Dominance","0","3"
"8","Sensitive_Dominance","0","3"
"9","Sensitive_Dominance","0","3"
