"","Type","Relative","DNAcon"
"1","Tolerant_Dominance",7.041156189,0.75
"2","Tolerant_Dominance",6.470229177,0.75
"3","Tolerant_Dominance",4.398914693,0.75
"4","Less Sensitive_Dominance",2.301169862,0.5
"5","Less Sensitive_Dominance",2.317082818,0.5
"6","Less Sensitive_Dominance",2.861070912,0.5
"7","Sensitive_Dominance",22.1811886,6
"8","Sensitive_Dominance",20.66295873,6
"9","Sensitive_Dominance",19.59381069,6
