"","Type","Relative","DNAcon"
"1","Tolerant_Dominance","6.128640778","1"
"2","Tolerant_Dominance","7.722924825","1"
"3","Tolerant_Dominance","9.673163568","1"
"4","Less Sensitive_Dominance","8.12969497","5"
"5","Less Sensitive_Dominance","11.01379347","5"
"6","Less Sensitive_Dominance","12.5336255","5"
"7","Sensitive_Dominance","3.511357954","1.7"
"8","Sensitive_Dominance","2.334359995","1.7"
"9","Sensitive_Dominance","2.083905694","1.7"
