"","Type","Relative","DNAcon"
"1","Tolerant_Dominance","60.99193318","2"
"2","Tolerant_Dominance","50.60666367","2"
"3","Tolerant_Dominance","60.06770716","2"
"4","Less Sensitive_Dominance","77.89988777","7"
"5","Less Sensitive_Dominance","74.74432266","7"
"6","Less Sensitive_Dominance","63.17406873","7"
"7","Sensitive_Dominance","26.76291754","2"
"8","Sensitive_Dominance","17.46051499","2"
"9","Sensitive_Dominance","20.41372854","2"
