"","Type","Relative","DNAcon"
"1","Tolerant_Dominance","2.271609794","0.75"
"2","Tolerant_Dominance","2.215699496","0.75"
"3","Tolerant_Dominance","2.325699875","0.75"
"4","Less Sensitive_Dominance","6.408185245","0.7"
"5","Less Sensitive_Dominance","3.554747241","0.7"
"6","Less Sensitive_Dominance","2.502557109","0.7"
"7","Sensitive_Dominance","14.15005494","6"
"8","Sensitive_Dominance","13.03049634","6"
"9","Sensitive_Dominance","10.33742185","6"
