"","Type","Relative","DNAcon"
"1","Tolerant_Dominance",8.644163533,0.75
"2","Tolerant_Dominance",7.000923165,0.75
"3","Tolerant_Dominance",4.985009364,0.75
"4","Less Sensitive_Dominance",7.171174543,0.7
"5","Less Sensitive_Dominance",8.292509293,0.7
"6","Less Sensitive_Dominance",8.185962374,0.7
"7","Sensitive_Dominance",30.98329799,6
"8","Sensitive_Dominance",32.17934716,6
"9","Sensitive_Dominance",29.71733209,6
