"","Type","Relative","DNAcon"
"1","Tolerant_Dominance","1.013706451","6"
"2","Tolerant_Dominance","1.633819092","6"
"3","Tolerant_Dominance","0.662136259","6"
"4","Less Sensitive_Dominance","0.073805215","2"
"5","Less Sensitive_Dominance","0.317302143","2"
"6","Less Sensitive_Dominance","0.539789429","2"
"7","Sensitive_Dominance","0.561975207","1"
"8","Sensitive_Dominance","0.186665836","1"
"9","Sensitive_Dominance","0.241155101","1"
