"","Type","Relative","DNAcon"
"1","Tolerant_Dominance","21.86301504","2"
"2","Tolerant_Dominance","21.33116497","2"
"3","Tolerant_Dominance","20.96823496","2"
"4","Less Sensitive_Dominance","29.5638126","7"
"5","Less Sensitive_Dominance","38.94928285","7"
"6","Less Sensitive_Dominance","37.73513223","7"
"7","Sensitive_Dominance","14.21783365","2"
"8","Sensitive_Dominance","12.72216611","2"
"9","Sensitive_Dominance","11.44406529","2"
