,Comm_A1,Comm_A2,Comm_A3,Comm_B1,Comm_B2,Comm_B3,Comm_C1,Comm_C2,Comm_C3,Comm_D1,Comm_D2,Comm_D3,Grouping
18S_364,0,0.008375022,0,0,0,0,0.025504499,0,0,0,0,0,Less sensitive
18S_365,0,0,0,0,0,0,0,0,0.013921122,0,0,0,Less sensitive
18S_371,0,0,0,0,0,0,0,0,0.012687605,0,0,0,Less sensitive
18S_373,0,0,0,0,0,0,0,0,0.012511388,0,0,0,Less sensitive
18S_377,0,0,0,0,0,0,0,0.019858115,0,0,0,0,Less sensitive
18S_388,0,0,0,0,0,0,0,0,0.011630304,0,0,0,Less sensitive
18S_393,0,0,0,0,0,0,0,0,0.011277871,0,0,0,Less sensitive
18S_394,0,0,0,0,0,0,0.009024669,0.011511951,0,0,0,0,Less sensitive
18S_399,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_405,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_415,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_422,0,0,0,0,0,0,0,0,0.009515704,0,0,0,Less sensitive
18S_424,0,0,0,0,0,0,0,0,0,0.010448147,0,0,Less sensitive
18S_429,0,0,0,0,0,0,0,0,0,0.010053877,0,0,Less sensitive
18S_430,0,0,0,0,0,0,0,0,0,0,0.018859412,0,Less sensitive
18S_433,0,0,0,0,0,0.003113131,0,0,0.005110285,0,0,0,Less sensitive
18S_438,0,0,0,0,0,0,0,0.013814341,0,0,0,0,Less sensitive
18S_439,0,0,0,0,0,0,0,0.013814341,0,0,0,0,Less sensitive
18S_449,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_455,0,0,0,0,0,0,0.01647983,0,0,0,0,0,Less sensitive
18S_458,0,0,0,0,0,0,0,0,0.007224886,0,0,0,Less sensitive
18S_459,0,0,0,0,0,0,0,0.011511951,0,0,0,0,Less sensitive
18S_462,0.010029136,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_464,0,0,0,0,0,0,0,0,0.006872453,0,0,0,Less sensitive
18S_477,0,0,0,0,0,0,0,0.010360756,0,0,0,0,Less sensitive
18S_478,0,0,0,0,0,0,0,0.010360756,0,0,0,0,Less sensitive
18S_482,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_506,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_508,0,0,0,0,0,0,0.010986553,0,0,0,0,0,Less sensitive
18S_516,0.006686091,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_524,0,0,0,0,0,0,0,0,0,0.004534101,0,0,Less sensitive
18S_525,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_526,0,0,0.008361712,0,0,0,0,0,0,0,0,0,Less sensitive
18S_527,0,0,0,0,0,0,0.008632292,0,0,0,0,0,Less sensitive
18S_539,0,0,0,0,0,0,0,0.005468177,0,0,0,0,Less sensitive
18S_543,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_544,0,0.009491692,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_545,0,0,0,0,0,0,0,0.004892579,0,0,0,0,Less sensitive
18S_561,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_572,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_573,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_575,0,0,0,0,0,0.003113131,0,0,0,0,0,0,Less sensitive
18S_578,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_580,0.002057259,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_582,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_587,0,0,0,0,0,0,0,0.002014591,0,0,0,0,Less sensitive
18S_595,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_599,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_609,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_538,0,0,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_149,0,0.021775058,0,0,0,0,0,0,0,0,0,0,Other metazoan
18S_419,0,0,0,0,0,0,0,0,0.005991369,0,0,0,Other metazoan
18S_9,0.445139341,0.078166875,1.495226222,0.336486529,1.048769088,0.510207611,1.499272141,1.812844459,1.242856614,1.396897492,1.361575611,0.306708949,Less sensitive
18S_108,0,0.151867072,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_551,0,0,0,0,0,0,0.005885654,0,0,0,0,0,Less sensitive
18S_3,0,0,0.048269886,11.56505783,11.93356028,2.043943576,3.197479371,4.893442505,0.012687605,4.158756631,5.57646937,8.252403132,Less sensitive
18S_5,0.012600709,0.018983384,0.010262102,0.004067668,0.925462483,0.688001992,0.900112612,23.73850604,42.53466624,10.50708995,15.41331696,3.165692201,Less sensitive
18S_42,0,0,0,0.067794465,0.070602976,0,0,0,0,0.049480845,0.048442804,0.143692399,Less sensitive
18S_51,0,0,0,0.040676679,0.044416896,0,0,0.011224152,0,0.029767361,0.055838652,0.046080666,Less sensitive
18S_77,0,0,0,0.019434413,0.016904938,0.003459035,0,0.014677737,0,0.013405169,0.024036506,0.022297096,Less sensitive
18S_79,0,0,0,0.025309934,0.006960857,0.009685297,0.00627803,0,0,0,0,0.042612229,Less sensitive
18S_80,0,0,0,0,0.023534325,0,0,0,0,0.018136405,0.032911523,0.041125756,Less sensitive
18S_85,0,0,0,0.034123214,0,0,0,0,0,0.022276237,0,0,Less sensitive
18S_96,0,0,0,0.015366745,0.019888162,0,0,0,0,0.007491124,0.022927129,0.016351204,Less sensitive
18S_103,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_148,0,0,0,0.021468247,0.018562285,0,0,0.01410214,0,0.011039551,0.00924481,0,Less sensitive
18S_150,0,0,0,0,0,0,0,0,0,0,0.189333708,0,Less sensitive
18S_151,0,0,0,0,0,0,0,0.020145914,0,0,0,0,Less sensitive
18S_170,0,0,0,0,0,0,0,0.129509447,0,0,0,0,Less sensitive
18S_172,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_181,0,0,0,0,0,0,0,0,0,0.009265338,0.019229205,0.042612229,Less sensitive
18S_188,0,0,0,0.00723141,0.003314694,0,0,0,0,0,0,0.005450401,Less sensitive
18S_192,0,0,0,0.017626561,0,0,0,0,0,0,0,0,Less sensitive
18S_209,0,0,0,0.015818709,0,0,0,0,0,0.00611118,0,0,Less sensitive
18S_222,0,0,0,0,0.01591053,0,0,0,0,0.004731236,0,0,Less sensitive
18S_223,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_225,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_238,0,0,0,0,0.051046283,0,0,0,0,0,0,0,Less sensitive
18S_242,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_243,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_248,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_269,0,0,0,0,0,0,0,0,0,0.006308315,0,0,Less sensitive
18S_271,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_292,0,0,0,0.01016917,0,0,0,0,0,0,0,0,Less sensitive
18S_301,0,0,0,0,0,0,0,0.010072957,0,0,0,0,Less sensitive
18S_317,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_340,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_347,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_348,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_362,0,0,0,0,0,0,0,0,0,0.015967922,0,0,Less sensitive
18S_383,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_385,0,0,0,0.014914782,0,0,0,0,0,0,0,0,Less sensitive
18S_397,0,0,0,0,0,0,0,0,0,0.005519776,0,0,Less sensitive
18S_398,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_406,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
